# cryptogram-content curation: Author|Quote
# one quote per line, max 100 chars, fictional characters as 'Character (Source)'
Byron Pulsifer|Spring is a time for rebirth and the fulfilment of new life.
Byron Pulsifer|What you give is what you get.
Captain Flint (Black Sails)|Everyone is a monster to someone. Since you are so convinced that I am yours. I will be it.
Captain Jack Sparrow (Pirates of the Caribbean)|If you were waiting for the opportune moment, that was it.
Carl Sagan|Imagination will often carry us to worlds that never were. But without it we go nowhere.
Carl Sandburg|Nothing happens unless first we dream.
Catherine Pulsifer|Being angry never solves anything.
Catherine Pulsifer|Rather than wishing for change, you first must be prepared to change.
Cecelia Ahern (Love, Rosie)|Age is just a number, not a state of mind or a reason for any type of particular behaviour.
Cecelia Ahern (Love, Rosie)|I've learned that home isn't a place, it's a feeling.
Cecelia Ahern (Love, Rosie)|That's what life is about: People come and go.
Cersei Lannister (Game of Thrones)|Tears aren't a woman's only weapon. The best one's between your legs.
Cersei Lannister (Game of Thrones)|When you play the game of thrones, you win or you die. There is no middle ground.
Cervantes|Be slow of tongue and quick of eye.
Chanakya|A man is great by deeds, not by birth.
Channing|Error is discipline through which we advance.
Charles Dickens|Don't leave a stone unturned. It's always something, to know you have done the most you could.
Charles Kettering|One fails forward toward success.
Charles Xavier/Professor X (X-Men: Days of Future Past)|Just because someone stumbles and loses their path, doesn't mean they're lost forever.
Charlie (Always Sunny in Philadelphia)|Cat in the wall, eh?! Okay, now you're talking my language.
Charlie (Always Sunny in Philadelphia)|I'm a-- full-on rapist, you know? Uh, Africans, dyslexics, children, that sorta thing.
Charlie (Always Sunny in Philadelphia)|Storm comin', hatchet comin'!
Charlie (Always Sunny in Philadelphia)|We're two different people. We can't have the same left.
Chinese proverb|A gem cannot be polished without friction, nor a man perfected without trials.
Chinese proverb|Learning is a treasure that will follow its owner everywhere.
Chinese proverb|Talk doesn't cook rice.
Chinese proverb|Tension is who you think you should be. Relaxation is who you are.
Christian Bovee|Example has more followers than reason.
Christina Yang (Grey's Anatomy)|Oh, screw beautiful. I'm brilliant. If you want to appease me, compliment my brain!
Christopher Morley|There is only one success - to be able to spend your life in your own way.
Christopher Reeve|Once you choose hope, anythings possible.
Cicero|Gratitude is not only the greatest of virtues, but the paren't of all the others.
Claire Charmont|The one who always loses, is the only person who gets the reward.
Comic Book Guy (The Simpsons)|Worst. Episode. Ever.
Confucius|Ability will never catch up with the demand for it.
Confucius|Silence is a true friend who never betrays.
Confucius|The cautious seldom err.
Confucius|To be wronged is nothing unless you continue to remember it.
Confucius|What you do not want done to yourself, do not do to others.
Confucius|Wherever you go, go with all your heart.
Cynthia Ozick|To want to be what one can be is purpose in life.
Daisaku Ikeda|If you lose today, win tomorrow. In this never-ending spirit of challenge is the heart of a victor.
Dalai Lama|Be kind whenever possible. It is always possible.
