# cryptogram-content curation: Author|Quote
# one quote per line, max 100 chars, fictional characters as 'Character (Source)'
Rabindranath Tagore|We read the world wrong and say that it deceives us.
Ralph Emerson|Life is a progress, and not a station.
Ralph Emerson|Our distrust is very expensive.
Ralph Emerson|Self-trust is the first secret of success.
Ralph Emerson|Skill to do comes of doing.
Ralph Emerson|To be great is to be misunderstood.
Ralph Emerson|We aim above the mark to hit the mark.
Ralph Marston|Excellence is not a skill. It is an attitude.
Ralph Waldo Emerson|A hero is no braver than an ordinary man, but he is braver five minutes longer.
Ralph Waldo Emerson|Imagination is not a talent of some men but is the health of every man.
Ralph Waldo Emerson|It is only when the mind and character slumber that the dress can be seen.
Ralph Waldo Emerson|Most of the shadows of life are caused by standing in our own sunshine.
Ralph Waldo Emerson|Our strength grows out of our weaknesses.
Rene Descartes|The greatest minds are capable of the greatest vices as well as of the greatest virtues.
Rhett Butler (Gone With the Wind)|Frankly, my dear, I don't give a damn.
Richard Bach|Every gift from a friend is a wish for your happiness.
Richard Bach|Every problem has a gift for you in its hands.
Richard Bach|In order to win, you must expect to win.
Richard Bach|Learning is finding out what you already know.
Richard Bach|The simplest things are often the truest.
Richard Bach|You teach best what you most need to learn.
Richard Garriott|Chaos and Order are not enemies, only opposites.
Rick (Rick and Morty)|Wubba lubba dub dub!
Rick Sanchez (Rick and Morty)|I'm sorry, but your opinion means very little to me.
Rick Sanchez (Rick and Morty)|They're just robots, Morty! It's OK to shoot them! They're robots!
Ricky Baker (Hunt for the Wilderpeople)|I didn't choose the skuxx life, the skuxx life chose me.
Ricky Baker (Hunt for the Wilderpeople)|It was a relaxing song... and a relaxing sausage.
Ricky Baker (Hunt for the Wilderpeople)|Shit just got real! Back up, homies, and let go of my uncle!
Rita Mae Brown|Creativity comes from trust. Trust your instincts. And never hope more than you work.
Robert Frost|The best way out is always through.
Robert McKain|The reason most goals are not achieved is that we spend our time doing second things first.
Rorschach (Watchmen)|I'm not locked in here with you. You're locked in here with me!
Rose (Titanic)|Jack! Come back! Come back! Come back!.
Roy (The IT Crowd)|Have you tried turning it off and on again?
RuPaul (RuPaul's Drag Race)|If you can't love yourself, how in the hell are you gonna love somebody else!
Sai Baba|All action results from thought, so it is thoughts that matter.
Saint Augustine|Patience is the companion of wisdom.
Samuel Johnson|Memory is the mother of all wisdom.
Samuel Taylor Coleridge|Imagination is the living power and prime agent of all human perception.
Satchel Paige|Don't look back. Something might be gaining on you.
Seneca|No man was ever wise by chance.
Seneca|The greatest remedy for anger is delay.
Seneca|The mind unlearns with difficulty what it has long learned.
Shaw (Person Of Interest)|I missed on purpose, jackass.
Shikamaru Nara (Naruto)|There is no advantage to living life on the run.
Sigmund Freud|From error to error one discovers the entire truth.
Socrates|Be as you wish to seem.
Socrates|The greatest way to live with honour in this world is to be what we pretend to be.
Socrates|Wisdom begins in wonder.
Sojourner Truth|Truth is powerful and it prevails.
Sokka (Avatar the Last Airbender)|This guy is too good he shoots fire from his brain.
Sophocles|A short saying oft contains much wisdom.
Sophocles|A short saying often contains much wisdom.
Sophocles|Much wisdom often goes with fewer words.
Sophocles|Numberless are the worlds wonders, but none more wonderful than man.
Sophocles|Wisdom is the supreme part of happiness.
Soren Kierkegaard|To dare is to lose ones footing momentarily. To not dare is to lose oneself.
Stephen Fry (A Bit of Fry & Laurie)|Hold the newsreader's nose squarely, waiter, or friendly milk will countermand my trousers.
Stephen Kaggwa|Try and fail, but don't fail to try.
Sterling Archer (Archer)|He's not coming back from that. That chick was, like, the Pele of anal.
Sterling Archer (Archer)|I am not slurring my words, I'm talking in cursive.
Sterling Archer (Archer)|If I stop drinking all at once, I'm afraid the cumulative hangover will kill me.
Sterling Archer (Archer)|Karate? The dane cook of martial arts.
Sun Tzu|You have to believe in yourself.
Swedish proverb|Worry often gives a small thing a big shadow.
Sylvia Voirol|Rainbows apologize for angry skies.
Tehyi Hsieh|Action will remove the doubts that theory cannot solve.
Thanos (Avengers infinity war)|Dread it, run from it, destiny arrives all the same.
Thanos (Avengers: Infinity War)|The hardest choices require the strongest wills.
The Dude (Jeff Bridges) (The Big Lebowski)|That rug really tied the room together, did it not?
The Handler (The Umbrella Academy)|We're All Looking For Happy.
Theodore Rubin|Kindness is more important than wisdom, and the recognition of this is the beginning of wisdom.
Thich Nhat Hanh|Smile, breathe and go slowly.
Thich Nhat Hanh|Smile, breathe, and go slowly.
Thomas Edison|If we did the things we are capable of, we would astound ourselves.
Thomas Edison|Opportunity is missed by most because it is dressed in overalls and looks like work.
Thomas Fuller|No garden is without its weeds.
Thomas Jefferson|Don't talk about what you have done or what you are going to do.
Thomas Jefferson|I'm a great believer in luck and I find the harder I work, the more I have of it.
Thomas Jefferson|Never put off till tomorrow what you can do today.
Thomas Jefferson|Reason and free inquiry are the only effectual agents against error.
Tobio Kageyama (Haikyuu)|You can fly even higher.
Toni Morrison|If you surrender to the wind, you can ride it.
Tony Montana (Scarface)|The eyes, Chico. They never lie.
Tony Robbins|It is in your moments of decision that your destiny is shaped.
Tony Robbins|Successful people ask better questions, and as a result, they get better answers.
Tony Robbins|The only limit to your impact is your imagination and commitment.
Tony Robbins|We can change our lives. We can do, have, and be exactly what we wish.
Tony Robbins|Whatever happens, take responsibility.
Tony Robbins|You always succeed in producing a result.
Tony Stark (Iron Man 3)|We create our own demons.
Turkish proverb|Kind words will unlock an iron door.
Tyrion Lannister (Game of Thrones)|A Lannister always pays his debts.
Tyrion Lannister (Game of Thrones)|Any man who must say "I am the king" is no true king.
Usman Asif|Fear is a darkroom where negatives develop.
V. Naipaul|The world is always in movement.
Valery Legasov (Chernobyl)|Every lie we tell incurs a debt to the truth. Sooner or later that debt is paid.
Vernon Cooper|These days people seek knowledge, not wisdom. Knowledge is of the past, wisdom is of the future.
Victoria Holt|Never regret. If it's good, it's wonderful. If it's bad, it's experience.
Virgil|Fortune favours the brave.
Virgil|They can conquer who believe they can.
Virgil|They can do all because they think they can.
Viviane (The Mists of Avalon)|No man or woman can live another's fate.
Voltaire|The longer we dwell on our misfortunes, the greater is their power to harm us.
Voltaire|Think for yourselves and let others enjoy the privilege to do so too.
Voltaire|To enjoy life, we must touch much of it lightly.
W. H. Auden|To choose what is difficult all ones days, as if it were easy, that is faith.
Walt Disney|If you can dream it, you can do it.
Walt Disney|Weve got to have a dream if we are going to make a dream come true.
Walt Emerson|What lies behind us and what lies before us are tiny matters compared to what lies within us.
Walter Cronkite|I can't imagine a person becoming a success who doesn't give this game of life everything hes got.
Walter Lippmann|Where all think alike, no one thinks very much.
Wayne Dyer|I think and that is all that I am.
Wayne Dyer|Our intention creates our reality.
Wayne Dyer|Real magic in relationships means an absence of judgement of others.
Wayne Dyer|We are Divine enough to ask and we are important enough to receive.
Wayne Dyer|You can't choose up sides on a round world.
Wayne Dyer|You'll see it when you believe it.
Will Rogers|If you find yourself in a hole, the first thing to do is stop digging.
William Arthur Ward|Do more than dream: work.
William Blake|In seed time learn, in harvest teach, in winter enjoy.
William James|To change ones life, start immediately, do it flamboyantly, no exceptions.
William R. Inge|Nature takes away any faculty that is not used.
William Shakespeare|Be great in act, as you have been in thought.
William Shakespeare|Go to your bosom: Knock there, and ask your heart what it doth know.
William Shakespeare|Having nothing, nothing can he lose.
William Shakespeare|Love all, trust a few, do wrong to none.
William Shakespeare|Speak low, if you speak love.
William Shakespeare|We know what we are, but know not what we may be.
William Wallace (Braveheart)|Every man dies, but not every man really lives.
William Wallace (Braveheart)|They may take our lives, but they'll never take our freedom!
William Ward|When we seek to discover the best in others, we somehow bring out the best in ourselves.
Winston Churchill|I never worry about action, but only inaction.
Winston Churchill|Never, never, never give up.
Winston Churchill|The price of greatness is responsibility.
Winston Churchill|We make a living by what we get, but we make a life by what we give.
Wit|We choose our destiny in the way we treat others.
Woody Guthrie|Take it easy - but take it.
Ygritte (Game of Thrones)|You know nothing, Jon Snow.
Ymber Delecto|The time you think you're missing, misses you too.
Yoda|Do, or do not. There is no try.
Yoda (Star Wars Episode V: The Empire Strikes Back)|No. Try not. Do... or do not. There is no try.
Yogi Berra|You can observe a lot just by watching.
Yogi Berra|You got to be careful if you don't know where you're going, because you might not get there.
Zadok Rabinowitz|A man's dreams are an index to his greatness.
Zig Ziglar|You are the only person on Earth who can use your ability.
